0,why are indian elephants endangered,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian gods blue,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian parents so strict,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why are indian elephants decorated,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian movies so long,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are indian names so long,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are indian movies so cheesy,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are indian trains so crowded,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why are indian sweets so sweet,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 0.361, 'pos': 0.639, 'compound': 0.7944}
9,why are indian actresses so white,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are indian gurus selling noodles,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why are indian wedding dresses red,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
12,why are indian weddings so expensive,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why are indian peoples eyes yellow,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
14,why are indian parents so mean,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
15,why are indian guys so attractive,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.5777}
16,why are indian vegetarian,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
17,why are indian parents so controlling,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
18,why are indian guys so desperate,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.374, 'neu': 0.626, 'pos': 0.0, 'compound': -0.4572}
19,why are indian restaurants called gaylord,2016-04-27 21:43:39,why are indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian are rude,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
1,why indian are intelligent,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}
2,why indian are smart,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
3,why indian are black,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why indian are so good in maths,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
5,why indian are good programmers,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}
6,why indian are short in height,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why indian are vegetarian,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
8,why indian are so smart,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.541}
9,why indian are so rude,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.491, 'neu': 0.509, 'pos': 0.0, 'compound': -0.5949}
10,why indian are short,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why indian are so fool,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.5777}
12,why indian are so beautiful,2016-04-27 21:43:39,why indian are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}
0,why are indian parents so strict,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian gods blue,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian guys unattractive,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}
3,why are indian vegetarian,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian elephants endangered,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are indian wedding dresses red,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are indian names so long,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are indian guys so handsome,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.6269}
8,why are indian parents so mean,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are indian parents so controlling,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are indian burial grounds haunted,2016-04-27 21:43:39,are why indian ,co.uk,en,google, {'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
0,why are indian parents so strict,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
1,why are indian gods blue,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
2,why are indian guys unattractive,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.42, 'neu': 0.58, 'pos': 0.0, 'compound': -0.4404}
3,why are indian vegetarian,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
4,why are indian elephants endangered,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
5,why are indian wedding dresses red,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why are indian names so long,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
7,why are indian guys so handsome,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.6269}
8,why are indian parents so mean,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
9,why are indian parents so controlling,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
10,why are indian burial grounds haunted,2016-04-27 21:43:40,are indian why ,co.uk,en,google, {'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}
0,why indian are so rude,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.491, 'neu': 0.509, 'pos': 0.0, 'compound': -0.5949}
1,why indian are so smart,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.541}
2,why indian are vegetarian,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why indian are good programmers,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}
4,why indian are rude,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
5,why indian are black,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why indian are smart,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
7,why indian are so beautiful,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}
8,why indian are intelligent,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}
9,why indian are so good in maths,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
10,why indian are short,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why indian are so intelligent,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.5949}
12,why indian are rich,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}
13,why indian are not good in sports,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.3412}
14,why indian are white,2016-04-27 21:43:40,indian why are ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
0,why indian are so rude,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.491, 'neu': 0.509, 'pos': 0.0, 'compound': -0.5949}
1,why indian are so smart,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.534, 'pos': 0.466, 'compound': 0.541}
2,why indian are vegetarian,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
3,why indian are good programmers,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.4404}
4,why indian are rude,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.4588}
5,why indian are black,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
6,why indian are smart,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.4019}
7,why indian are so beautiful,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.445, 'pos': 0.555, 'compound': 0.7177}
8,why indian are intelligent,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.4588}
9,why indian are so good in maths,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.616, 'pos': 0.384, 'compound': 0.5777}
10,why indian are short,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
11,why indian are rich,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.5574}
12,why indian are white,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
13,why indian are dark,2016-04-27 21:43:40,indian are why ,co.uk,en,google, {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
